Ratings,Wins,Time_diff,Score
0.4381140731851315,3,349,3.1471945540708552
0.13857851773111995,0,690,0.49789685918593946
0.48751468880818305,3,415,3.0562390485642847
0.38526827097371563,3,313,2.418794829650035
0.8410108228476892,6,212,3.5598004267570036
0.5558746639534783,5,212,3.834109720716539
0.5806617184224284,4,378,2.2095069626290185
0.03286587793837337,1,782,0.6171781148894985
0.9991938300053258,7,78,4.052559727105294
0.8979633822887056,6,260,3.826269974947102
0.425557583918899,2,792,0.9451135852723466
0.2144633146111108,2,666,1.2306102543113324
0.017610322465303696,1,696,1.1822517079311825
0.7891210266220867,7,82,4.925385137664314
0.5549028765614186,5,199,3.98250314221541
0.18428660731173796,1,770,0.29565772218229136
0.6544797452353226,4,412,3.1418062416452566
0.6399758104814606,5,206,3.9674128875110473
0.028030764963486665,1,954,0.2267554539168225
0.7012438334349428,6,293,3.6617858161652785
0.02101736846357971,0,615,0.9115171338103484
0.7085510553266279,6,259,3.773966706726659
0.7433916280065637,7,82,4.001988334472137
0.7262833148171751,6,255,3.734589582958203
0.29390563448878637,3,396,2.4479346491480856
0.9217294359356725,7,55,4.17798217014256
0.3684642085128108,2,686,1.3022835591545179
0.33912641155570267,3,435,2.2418019900714405
0.48077202862398527,3,413,2.8285535542948095
0.4600981594157565,3,485,3.050950748553226
0.3487411437905582,2,524,0.5114809392286943
0.755836269504767,7,119,4.0163493550908775
0.42917629550392544,3,485,2.553303479811927
0.4593590012703369,2,784,1.179562794917154
0.031031731919918815,0,665,0.8995483452413484
0.775280344375834,6,240,3.7801107540850687
0.40708533766581756,2,799,0.34517298622253134
0.5180917359138664,5,264,3.834699484697491
0.22985857477842153,2,911,0.48013805059997394
0.0008818602027538258,1,626,0.31283384595924946
0.8028405284893508,7,82,4.3278988668760014
0.7956559477562076,6,174,3.714049103824369
0.1894950388264267,1,946,0.681088207160204
0.36855093938101247,3,422,3.176790518188718
0.8776287460697264,6,209,3.8958084002141375
0.6985671203294161,5,218,3.6037698402640506
0.020123636533599276,0,977,0.697039189724769
0.716306338894001,6,253,3.585573978921545
0.04736555162671208,0,726,0.9411406432969325
0.8753117665713283,6,240,3.6081463553475195
0.30119777445486096,3,437,2.474662058772027
0.9374010652211874,6,299,3.990977477661422
0.299843201411506,2,894,0.36710161290670756
0.3562236054236928,3,413,3.0988645615857493
0.05581735676291999,1,546,0.5521658812279038
0.6832051147491511,5,201,3.5451308155233257
0.5091813594963235,5,198,3.984213160514286
0.6521008585847866,4,442,2.467816277319654
0.28885724266316215,2,702,1.1352105194212812
0.6991129083713953,4,307,2.176689307141884
0.739737393079651,6,173,3.6770074344353363
0.8900506344174615,7,130,4.605430786163686
0.9122319440445298,6,259,3.6471082379320987
0.9682174036022722,7,103,4.161313807232386
0.321626329751206,3,348,2.613626672379577
0.5752632266624689,4,309,2.6902334579095872
0.8965234004341366,7,80,3.946547592442269
0.35580766777354145,2,876,0.4340471817506258
0.7850357468686849,6,297,3.573941960031588
0.07594391074693885,1,510,1.0415050349241575
0.5784364315129576,5,217,3.74558849495577
0.23154222448717654,2,617,1.1731409300512419
0.17088973194720547,0,671,1.351000838278312
0.8014835712152629,7,106,4.374019618179093
0.9004034262031502,7,84,4.37333708435107
0.9946440411370712,7,121,4.044043845415258
0.41846389430723263,3,376,2.1049422998513605
0.5295051065144472,4,322,2.641910695594599
0.2596025132974491,2,677,1.3921653728400234
0.22961115485545036,3,341,2.4949333564182212
0.7662277527513066,7,110,3.805829793502143
0.15867752862853945,1,752,0.9998250363434612
0.07407348773079214,0,575,0.23263680997922542
0.17817535309708565,1,939,0.14144393754364365
0.6311660308298259,5,247,3.601016435117489
0.18485610707981637,0,747,1.475695787118796
0.6288995598121723,4,498,2.8810982804544563
0.4427961923213567,3,474,3.077268787497767
0.7271652226077728,7,80,3.911394383676094
0.17728471825693337,0,832,1.4320029500158935
0.8514921752148124,6,181,3.642382650338883
0.8256974414485249,7,88,4.6392207996985055
0.7549398059804349,6,273,3.5666240667121123
0.8820637246955239,6,246,3.779512211174897
